Id,Chinese,Pinyin,Pinyin_With_Tone,Japanese_Meaning,Hsk_Level
268,笑,xiao,xiào,笑う,2
269,新,xin,xīn,新しい,2
270,姓,xing,xìng,姓,2
271,休息,xiuxi,xiūxi,休憩,2
272,雪,xue,xuě,雪,2
273,颜色,yanse,yánsè,色,2
274,眼睛,yanjing,yǎnjīng,目,2
275,羊肉,yangrou,yángròu,羊肉,2
276,药,yao,yào,薬,2
277,要,yao,yào,要求する,2
278,也,ye,yě,～も、また,2
279,已经,yijing,yǐjīng,もう既に,2
280,一起,yiqi,yìqǐ,一緒に,2
281,意思,yisi,yìsi,意味,2
282,阴,yin,yīn,曇り,2
283,因为,yinwei,yīnwèi,なぜなら,2
284,游泳,youyong,yóuyǒng,泳ぐ,2
285,右边,youbian,yòubiān,右,2
286,鱼,yu,yú,魚,2
287,元,yuan,yuán,中国のお金の単位,2
288,远,yuan,yuǎn,遠い,2
289,运动,yundong,yùndòng,運動,2
290,再,zai,zài,再び,2
291,早上,zaoshang,zǎoshang,朝,2
292,张,zhang,zhāng,枚,2
293,丈夫,zhangfu,zhàngfū,夫,2
294,找,zhao,zhǎo,探す,2
295,着,zhe,zhe,～している(進行・状態),2
296,真,zhen,zhēn,本当に,2
297,正在,zhengzai,zhèngzài,まさに〜している,2
298,知道,zhidao,zhīdào,知っている,2
299,准备,zhunbei,zhǔnbèi,準備をする,2
300,自行车,zixingche,zìxíngchē,自転車,2
301,走,zou,zǒu,歩く,2
302,最,zui,zuì,最も,2
303,左边,zuobian,zuǒbiān,左,2
307,阿姨,ayi,āyí,おばさん,3
308,啊,a,a,(文末で)〜だね、〜よ,3
309,矮,ai,ǎi,(背が)低い,3
310,爱好,aihao,àihào,趣味,3
311,安静,anjing,ānjìng,静か,3
312,把,ba,bǎ,握る、つかむ,3
313,班,ban,bān,クラス、組,3
314,搬,ban,bān,動く、運ぶ,3
315,半,ban,bàn,半分,3
316,办法,banfa,bànfǎ,方法,3
317,办公室,bangongshi,bàngōngshì,事務所,3
318,帮忙,bangmang,bāngmáng,助ける,3
319,包,bao,bāo,包む,3
320,饱,bao,bǎo,満腹,3
321,北方,beifang,běifāng,北,3
322,被,bei,bèi,〜によって〜される,3
323,鼻子,bizi,bízi,鼻,3
324,比较,bijiao,bǐjiào,比較する,3
325,比赛,bisai,bǐsài,試合,3
326,必须,bixu,bìxū,しなければならない,3
327,变化,bianhua,biànhuà,変化,3
328,表示,biaoshi,biǎoshì,表現する,3
329,表演,biaoyan,biǎoyǎn,演じる,3
330,别人,bieren,biérén,別の人,3
331,宾馆,binguan,bīnguǎn,ホテル,3
332,冰箱,bingxiang,bīngxiāng,冷蔵庫,3
333,才,cai,cái,やっと、わずか～だけ,3
334,菜单,caidan,càidān,メニュー表,3
335,参加,canjia,cānjiā,参加する,3
336,草,cao,cǎo,草,3
337,层,ceng,céng,層、階,3
338,差,cha,chà,違い,3
339,超市,chaoshi,chāoshì,スーパーマーケット,3
340,衬衫,chenshan,chènshān,シャツ,3
341,成绩,chengji,chéngjī,成績,3
342,城市,chengshi,chéngshì,街,3
343,迟到,chidao,chídào,遅れる,3
344,出现,chuxian,chūxiàn,現れる,3
345,厨房,chufang,chúfáng,キッチン,3
346,除了,chule,chúle,〜以外、〜を除いて,3
347,春,chun,chūn,春,3
348,词语,ciyu,cíyǔ,単語,3
349,聪明,congming,cōngmíng,賢い,3
350,打扫,dasao,dǎsǎo,掃除する,3
351,打算,dasuan,dǎsuàn,するつもり,3
352,带,dai,dài,持って,3
353,担心,danxin,dānxīn,心配,3
354,蛋糕,dangao,dàngāo,ケーキ,3
355,当然,dangran,dāngrán,当然、もちろん,3
356,地,de,de,地面・土地,3
357,灯,deng,dēng,灯り,3
358,低,di,dī,低い,3
359,地方,difang,dìfāng,場所,3
360,地铁,ditie,dìtiě,地下鉄,3
361,地图,ditu,dìtú,地図,3
362,电梯,dianti,diàntī,エレベーター,3
363,电子邮件,dianziyoujian,diànzǐyóujiàn,Eメール,3
364,东,dong,dōng,東,3
365,冬,dong,dōng,冬,3
366,动物,dongwu,dòngwù,動物,3
367,短,duan,duǎn,短い,3
368,段,duan,duàn,長いものの一部分を数える量詞,3
369,锻炼,duanlian,duànliàn,鍛える、鍛錬,3
370,多么,duome,duōme,なんと,3
371,饿,e,è,空腹,3
372,而且,erqie,érqiě,さらに,3
373,耳朵,erduo,ěrduō,耳,3
374,发烧,fashao,fāshāo,熱が出る,3
375,发现,faxian,fāxiàn,発見,3
376,方便,fangbian,fāngbiàn,便利,3
377,放,fang,fàng,離す、入れる,3
378,放心,fangxin,fàngxīn,安心する,3
379,分,fen,fēn,分ける、分,3
380,附近,fujin,fùjìn,近く,3
381,复习,fuxi,fùxí,復習する,3
382,干净,ganjing,gānjìng,清潔,3
383,敢,gan,gǎn,敢えて,3
384,感冒,ganmao,gǎnmào,風邪をひく,3
385,刚才,gangcai,gāngcái,さっき,3
386,跟,gen,gēn,とともに,3
387,根据,genju,gēnjù,〜によると,3
388,更,geng,gèng,もっと,3
389,公园,gongyuan,gōngyuán,公園,3
390,故事,gushi,gùshì,物語,3
391,刮风,guafeng,guā fēng,風が吹く,3
392,关,guan,guān,閉める,3
393,关系,guanxi,guānxì,関係,3
394,关心,guanxin,guānxīn,関心を持つ,3
395,关于,guanyu,guānyú,に関して,3
396,国家,guojia,guójiā,国,3
397,果汁,guozhi,guǒzhī,フルーツジュース,3
398,过去,guoqu,guòqù,過去,3
399,还是,haishi,háishì,それとも、やはり,3
400,害怕,haipa,hàipà,怖い,3
401,河,he,hé,川,3
402,黑板,heiban,hēibǎn,黒板,3
403,护照,huzhao,hùzhào,パスポート,3
404,花,hua,huā,花,3
405,花园,huayuan,huāyuán,庭園,3
406,画,hua,huà,絵,3
407,坏,huai,huài,悪い,3
409,环境,huanjing,huánjìng,環境,3
410,换,huan,huàn,変える,3
411,黄,huang,huáng,黄色,3
412,会议,huiyi,huìyì,会議,3
413,或者,huozhe,huòzhě,もしくは,3
414,几乎,jihu,jīhū,ほとんど,3
415,机会,jihui,jīhuì,機会,3
416,极,ji,jí,極み、頂点,3
417,记得,jide,jìdé,思い出す,3
418,季节,jijie,jìjié,季節,3
419,检查,jiancha,jiǎnchá,検査,3
420,简单,jiandan,jiǎndān,簡単,3
421,健康,jiankang,jiànkāng,健康,3
422,见面,jianmian,jiànmiàn,会う,3
423,讲,jiang,jiǎng,話す,3
424,教,jiao,jiào,教える,3
425,脚,jiao,jiǎo,足,3
426,角,jiao,jiǎo,通貨単位(10分の1元),3
427,接,jie,jiē,(電話に)出る、(人を)迎える。,3
428,街道,jiedao,jiēdào,道,3
429,结婚,jiehun,jiéhūn,結婚,3
430,结束,jieshu,jiéshù,終わる,3
431,节目,jiemu,jiémù,出し物、プログラム,3
432,节日,jieri,jiérì,休日,3
433,解决,jiejue,jiějué,解決する,3
434,借,jie,jiè,借りる,3
435,经常,jingchang,jīngcháng,いつも、しょっちゅう,3
436,经过,jingguo,jīngguò,経過する、過ぎる,3
437,经理,jingli,jīnglǐ,マネージャー,3
438,久,jiu,jiǔ,長い時間,3
439,旧,jiu,jiù,古い,3
440,举行,juxing,jǔxíng,執り行なう,3
441,句子,juzi,jùzi,文,3
442,决定,jueding,juédìng,決める,3
443,渴,ke,kě,喉が渇く,3
444,可爱,keai,kě'ài,愛らしい,3
445,刻,ke,kè,15分,3
446,客人,keren,kèrén,客、ゲスト,3
447,空调,kongtiao,kōngtiáo,空調,3
448,口,kou,kǒu,口,3
449,哭,ku,kū,泣く,3
450,裤子,kuzi,kùzi,パンツ,3
451,筷子,kuaizi,kuàizi,箸,3
452,蓝,lan,lán,青い,3
453,老,lao,lǎo,老いている,3
454,离开,likai,líkāi,去る、離れる,3
455,礼物,liwu,lǐwù,ギフト,3
456,历史,lishi,lìshǐ,歴史,3
457,脸,lian,liǎn,顔,3
458,练习,lianxi,liànxí,練習,3
459,辆,liang,liàng,両(車の量詞),3
460,了解,liaojie,liǎojiě,理解する,3
461,邻居,linju,línjū,隣人,3
462,楼,lou,lóu,階,3
463,绿,lu,lǜ,緑,3
464,马,ma,mǎ,馬,3
465,满意,manyi,mǎnyì,満足する,3
466,帽子,maozi,màozi,帽子,3
467,米,mi,mǐ,米,3
468,面包,mianbao,miànbāo,パン,3
469,面条,miantiao,miàntiáo,麺,3
470,明白,mingbai,míngbái,理解する,3
471,拿,na,ná,取る,3
472,奶奶,nainai,nǎinai,祖母,3
473,南,nan,nán,南,3
474,难,nan,nán,難しい,3
475,難過,nanguo,nánguò,悲しい,3
476,年级,nianji,niánjí,学年,3
477,年轻,nianqing,niánqīng,若い,3
478,鸟,niao,niǎo,鳥,3
479,努力,nuli,nǔlì,努力,3
480,爬山,pashan,páshān,山に登る,3
481,盘子,panzi,pánzi,皿,3
482,胖,pang,pàng,太っている,3
483,啤酒,pijiu,píjiǔ,ビール,3
484,葡萄,putao,pútáo,葡萄,3
485,普通话,putonghua,pǔtōnghuà,標準語,3
486,其实,qishi,qíshí,実際,3
487,其他,qita,qítā,他の,3
488,骑,qi,qí,乗る,3
489,铅笔,qianbi,qiānbǐ,鉛筆,3
490,清楚,qingchu,qīngchǔ,はっきりしている,3
491,秋,qiu,qiū,秋,3
492,奇怪,qiguai,qíguài,奇妙,3
493,裙子,qunzi,qúnzi,スカート,3
494,然后,ranhou,ránhòu,それから,3
495,热情,reqing,rèqíng,熱意,3
496,认为,renwei,rènwéi,思う,3
497,认真,renzhen,rènzhēn,真剣,3
498,容易,rongyi,róngyì,簡単,3
499,如果,ruguo,rúguǒ,もし,3
500,伞,san,sǎn,傘,3
501,上网,shangwang,shàngwǎng,ネットをする,3
502,生气,shengqi,shēngqì,怒る,3
503,声音,shengyin,shēngyīn,音,3
504,使,shi,shǐ,〜させる（使役）。,3
505,世界,shijie,shìjiè,世界,3
506,瘦,shou,shòu,やせている,3
507,舒服,shufu,shūfú,心地よい、快適,3
508,叔叔,shushu,shūshu,おじさん,3
509,树,shu,shù,木,3
510,数学,shuxue,shùxué,数学,3
511,刷牙,shuaya,shuāyá,歯を磨く,3
512,双,shuang,shuāng,2つの、対の,3
513,水平,shuiping,shuǐpíng,レベル、水準,3
514,司机,siji,sījī,運転手,3
515,虽然,suiran,suīrán,〜にもかかわらず,3
516,太阳,taiyang,tàiyáng,太陽,3
517,糖,tang,táng,砂糖,3
518,特别,tebie,tèbié,特別な,3
519,疼,teng,téng,痛い,3
520,提高,tigao,tígāo,上げる、高める,3
521,体育,tiyu,tǐyù,体育,3
522,甜,tian,tián,甘い,3
523,条,tiao,tiáo,細長い物を数える量詞,3
524,同事,tongshi,tóngshì,同僚,3
525,同意,tongyi,tóngyì,一致する,3
526,头发,toufa,tóufa,髪,3
527,突然,turan,tūrán,突然,3
528,图书馆,tushuguan,túshūguǎn,図書館,3
529,腿,tui,tuǐ,足,3
530,完成,wancheng,wánchéng,完成する,3
531,碗,wan,wǎn,お椀,3
532,万,wan,wàn,万,3
533,忘记,wangji,wàngjì,忘れる,3
534,为,wei,wèi,のために,3
535,为了,weile,wèile,するために,3
536,位,wei,wèi,人(敬称・量詞),3
537,文化,wenhua,wénhuà,文化,3
538,西,xi,xī,西,3
539,习惯,xiguan,xíguàn,習慣,3
540,洗手间,xishoujian,xǐshǒujiān,トイレ,3
541,洗澡,xizao,xǐzǎo,入浴,3
542,夏,xia,xià,夏,3
543,先,xian,xiān,先、最初,3
544,香蕉,xiangjiao,xiāngjiāo,バナナ,3
545,相同,xiangtong,xiāngtóng,同じ,3
546,相信,xiangxin,xiāngxìn,信じる,3
547,像,xiang,xiàng,のような,3
548,小心,xiaoxin,xiǎoxīn,気を付ける,3
549,校长,xiaozhang,xiàozhǎng,校長,3
550,鞋,xie,xié,靴,3
551,新闻,xinwen,xīnwén,ニュース,3
552,新鲜,xinxian,xīnxiān,新鮮,3
553,信,xin,xìn,手紙,3
554,行李箱,xinglixiang,xínglǐxiāng,トランクケース,3
555,兴趣,xingqu,xìngqù,関心、興味,3
556,熊猫,xiongmao,xióngmāo,パンダ,3
557,需要,xuyao,xūyào,必要,3
558,选择,xuanze,xuǎnzé,選択する、選ぶ,3
559,眼镜,yanjing,yǎnjìng,眼鏡,3
560,要求,yaoqiu,yāoqiú,要求する,3
561,爷爷,yeye,yéye,祖父,3
562,一定,yiding,yídìng,絶対,3
563,一共,yigong,yígòng,合計で、合わせて,3
564,一会儿,yihuier,yìhuǐ'er,しばらく,3
565,一样,yiyang,yíyàng,同じ、同様である,3
566,以后,yihou,yǐhòu,以後、その後,3
567,以前,yiqian,yǐqián,以前、これまで,3
568,以为,yiwei,yǐwéi,認める、考える,3
569,一般,yiban,yìbān,普通の、一般的な,3
570,一边,yibian,yìbiān,一方、片方,3
571,一直,yizhi,yìzhí,ずっと,3
572,音乐,yinyue,yīnyuè,音楽,3
573,银行,yinhang,yínháng,銀行,3
574,应该,yinggai,yīnggāi,すべき,3
575,影响,yingxiang,yǐngxiǎng,影響を及ぼす,3
576,用,yong,yòng,使う,3
577,游戏,youxi,yóuxì,ゲーム,3
578,有名,youming,yǒumíng,有名,3
579,又,you,yòu,また,3
580,遇到,yudao,yùdào,出会う,3
581,愿意,yuanyi,yuànyì,〜したいと思う、喜んで〜する,3
582,月亮,yueliang,yuèliàng,月,3
583,越,yue,yuè,越える,3
584,云,yun,yún,雲,3
585,站,zhan,zhàn,立つ,3
586,长,zhang,zhǎng,年長の,3
587,着急,zhaoji,zhāojí,心配,3
588,照顾,zhaogu,zhàogù,世話をする,3
589,照片,zhaopian,zhàopiàn,写真,3
590,照相机,zhaoxiangji,zhàoxiàngjī,カメラ,3
591,只,zhi,zhǐ,のみ,3
592,中间,zhongjian,zhōngjiān,真ん中,3
593,终于,zhongyu,zhōngyú,遂に、最終的に,3
594,种,zhong,zhǒng,種類,3
595,重要,zhongyao,zhòngyào,重要,3
596,周末,zhoumo,zhōumò,週末,3
597,主要,zhuyao,zhǔyào,主要,3
598,祝,zhu,zhù,祝う,3
599,注意,zhuyi,zhùyì,注意する,3
600,字典,zidian,zìdiǎn,辞書,3
601,自己,ziji,zìjǐ,自分の,3
602,総是,zongshi,zǒngshì,いつも,3
603,最近,zuijin,zuìjìn,最近,3
604,作业,zuoye,zuòyè,宿題,3
605,作用,zuoyong,zuòyòng,作用,3
606,爱情,aiqing,àiqíng,愛,4
607,安排,anpai,ānpái,手配する、スケジュールを組む。,4
608,安全,anquan,ānquán,安全,4
609,暗,an,àn,暗い,4
610,按时,anshi,ànshí,時間通りに,4
611,按照,anzhao,ànzhào,〜によると,4
612,包括,baokuo,bāokuò,含む,4
613,保护,baohu,bǎohù,保護,4
614,保证,baozheng,bǎozhèng,保証,4
615,抱,bao,bào,抱える,4
616,抱歉,baoqian,bàoqiàn,すみません,4
617,报道,baodao,bàodào,報道する,4
618,报名,baoming,bàomíng,登録する,4
619,倍,bei,bèi,倍,4
620,本来,benlai,běnlái,本来、元々,4
621,笨,ben,bèn,頭が悪い・不器用,4
622,笔记本,bijiben,bǐjìběn,ノート,4
623,毕业,biye,bìyè,卒業,4
624,遍,bian,biàn,あまねく、くまなく,4
625,标准,biaozhun,biāozhǔn,標準,4
626,表达,biaoda,biǎodá,表わす、示す,4
627,表格,biaoge,biǎogé,表、フォーム,4
628,表扬,biaoyang,biǎoyáng,表彰する,4
629,饼干,binggan,bǐnggān,ビスケット、クッキー,4
630,并且,bingqie,bìngqiě,その他に,4
631,博士,boshi,bóshì,博士,4
632,不但,budan,búdàn,〜だけでなく,4
633,不过,buguo,búguò,但し,4
634,不得不,budebu,bùdébù,しなければなりません,4
635,不管,buguan,bùguǎn,にもかかわらず,4
636,不仅,bujin,bùjǐn,だけでなく,4
637,部分,bufen,bùfèn,部分,4
638,擦,ca,cā,拭く,4
639,猜,cai,cāi,推測する・当てる,4
640,材料,cailiao,cáiliào,材料,4
641,参观,canguan,cānguān,見学する,4
642,差不多,chabuduo,chàbùduō,殆ど,4
643,尝,chang,cháng,味見する,4
644,长城,changcheng,chángchéng,万里の長城,4
645,长江,changjiang,chángjiāng,揚子江,4
646,场,chang,chǎng,場所,4
647,超过,chaoguo,chāoguò,超える,4
648,吵,chao,chǎo,騒々しい、うるさい,4
649,成功,chenggong,chénggōng,成功,4
650,成熟,chengshu,chéngshú,成熟,4
651,成为,chengwei,chéngwéi,になる,4
652,诚实,chengshi,chéngshí,誠実、正直,4
653,乘坐,chengzuo,chéngzuò,乗る,4
654,吃惊,chijing,chījīng,驚く,4
655,重新,chongxin,chóngxīn,重ねて、もう一度,4
656,抽烟,chouyan,chōuyān,喫煙,4
657,出差,chuchai,chūchāi,出張,4
658,出发,chufa,chūfā,出発,4
659,出生,chusheng,chūshēng,生れる,4
660,传真,chuanzhen,chuánzhēn,ファックス,4
661,窗户,chuanghu,chuānghù,窓,4
662,词典,cidian,cídiǎn,辞書,4
663,从来,conglai,cónglái,これまでずっと,4
664,粗心,cuxin,cūxīn,注意深くない、そそっかしい,4
665,答案,daan,dá'àn,答え,4
666,打扮,daban,dǎbàn,身支度する、着飾る,4
